id,marketplace_id,name,continent,url,url_seller,timezone,currency,mws_endpoint
BR,A2Q3Y263D00KWC,Brazil,,www.amazon.com.br,sellercentral.amazon.com,,,mws.amazonservices.com
CA,A2EUQ1WTGCTBG2,Canada,,www.amazon.ca,sellercentral.amazon.com,,,mws.amazonservices.ca
MX,A1AM78C64UM0Y8,Mexico,,www.amazon.com.mx,sellercentral.amazon.com,,,mws.amazonservices.com.mx
US,ATVPDKIKX0DER,United States,,www.amazon.com,sellercentral.amazon.com,,,mws.amazonservices.com
AE,A2VIGQ35RCS4UG,United Arab Emirates (U.A.E.),,www.amazon.ae,,,,mws.amazonservices.ae
DE,A1PA6795UKMFR9,Germany,,www.amazon.de,sellercentral.amazon.de,,,mws-eu.amazonservices.com
EG,ARBP9OOSHTCHU,Egypt,,,,,,mws-eu.amazonservices.com
ES,A1RKKUPIHCS9HS,Spain,,www.amazon.es,sellercentral.amazon.es,,,mws-eu.amazonservices.com
FR,A13V1IB3VIYZZH,France,,www.amazon.fr,sellercentral.amazon.fr,,,mws-eu.amazonservices.com
GB,A1F83G8C2ARO7P,Great Britain,,www.amazon.co.uk,sellercentral.amazon.co.uk,,,mws-eu.amazonservices.com
IN,A21TJRUUN4KGV,India,,www.amazon.in,sellercentral.amazon.in,,,mws.amazonservices.in
IT,APJ6JRA9NG5V4,Italy,,www.amazon.it,sellercentral.amazon.it,,,mws-eu.amazonservices.com
NL,A1805IZSGTT6HS,Netherlands,,www.amazon.nl,sellercentral.amazon.nl,,,mws-eu.amazonservices.com
PL,A1C3SOZRARQ6R3,Poland,,www.amazon.pl,,,,mws-eu.amazonservices.com
SA,A17E79C6D8DWNP,Saudi Arabia,,www.amazon.sa,,,,mws-eu.amazonservices.com
SE,A2NODRKZP88ZB9,Sweden,,www.amazon.se,,,,mws-eu.amazonservices.com
TR,A33AVAJ2PDY3EV,Turkey,,www.amazon.com.tr,,,,mws-eu.amazonservices.com
SG,A19VAU5U5O7RUS,Singapore,,www.amazon.sg,,,,mws-fe.amazonservices.com
AU,A39IBJ37TRP1C6,Australia,,www.amazon.com.au,sellercentral.amazon.au,,,mws.amazonservices.com.au
JP,A1VC38T7YXB528,Japan,,www.amazon.co.jp,sellercentral.amazon.co.jp,,,mws.amazonservices.jp
CN,AAHKV2X7AFYLW,China,,www.amazon.cn,sellercentral.amazon.cn,,,mws.amazonservices.com.cn
